raw_state,standard_state,raw_district,standard_district,source,mapping_status,notes
Maharashtra,Maharashtra,Chandrapur,Chandrapur,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Ahmedabad,Ahmedabad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Amreli,Amreli,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Banaskantha,Banaskantha,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Bharuch,Bharuch,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Vadodara / Baroda,Vadodara / Baroda,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Bhavnagar,Bhavnagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Valsad,Valsad,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Dangs,Dangs,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Jamnagar,Jamnagar,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Junagadh,Junagadh,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Kheda,Kheda,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Kutch,Kutch,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Mehsana,Mehsana,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Panchmahal,Panchmahal,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Rajkot,Rajkot,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
Gujarat,Gujarat,Sabarkantha,Sabarkantha,ICRISAT_DLD_1966_2017,STANDARDIZED,Title-case sanitized standard name matching 1966 baseline boundaries
