crop,state,district,min_year,max_year,total_observations
Castor,Rajasthan,Dungarpur,2010,2017,8
Castor,Rajasthan,Ganganagar,2010,2017,8
Castor,Rajasthan,Jaipur,2010,2017,8
Castor,Rajasthan,Jaisalmer,2010,2017,8
Castor,Rajasthan,Jalore,2010,2017,8
Castor,Rajasthan,Jhalawar,2010,2017,8
Castor,Rajasthan,Jhunjhunu,2010,2017,8
Castor,Rajasthan,Jodhpur,2010,2017,8
Castor,Rajasthan,Kota,2010,2017,8
Castor,Rajasthan,Nagaur,2010,2017,8
Castor,Rajasthan,Pali,2010,2017,8
Castor,Rajasthan,Sikar,2010,2017,8
Castor,Rajasthan,Sirohi,2010,2017,8
Castor,Rajasthan,Swami Madhopur,2010,2017,8
Castor,Rajasthan,Tonk,2010,2017,8
Castor,Rajasthan,Udaipur,2010,2017,8
Castor,Tamil Nadu,Chengalpattu Mgr / Kanchipuram,2010,2017,8
Castor,Tamil Nadu,Coimbatore,2010,2017,8
Castor,Tamil Nadu,Kanyakumari,2010,2017,5
Castor,Tamil Nadu,Madurai,2010,2017,7
