record_id,source,dataset_version,country,state_raw,state,district_raw,district,year,season_raw,season,crop_raw,crop,area_ha,production_tonnes,yield_kg_ha
ICR_1_2013_SOY_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SOYABEAN,Soyabean,92280.0,92650.0,1003.99
ICR_1_2013_OIL_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,OILSEEDS,Oilseeds,108220.0,99310.0,917.64
ICR_1_2013_SUG_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,SUGARCANE,Sugarcane,3940.0,930.0,237.45
ICR_1_2013_COT_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,COTTON,Cotton,50.0,10.0,200.0
ICR_1_2013_FRU_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,FRUITS,Fruits,1900.0,,
ICR_1_2013_VEG_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,VEGETABLES,Vegetables,32830.0,,
ICR_1_2013_FRU_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,FRUITS AND VEGETABLES,Fruits and Vegetables,34740.0,,
ICR_1_2013_POT_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,POTATOES,Potatoes,110.0,,
ICR_1_2013_ONI_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,ONION,Onion,500.0,,
ICR_1_2013_FOD_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,FODDER,Fodder,770.0,,
ICR_1_2014_RIC_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Annual,Annual,RICE,Rice,834870.0,1444240.0,1729.89
ICR_1_2014_WHE_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Annual,Annual,WHEAT,Wheat,44250.0,50960.0,1151.49
ICR_1_2014_KHA_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Kharif,Kharif,KHARIF SORGHUM,Kharif Sorghum,0.0,0.0,0.0
ICR_1_2014_RAB_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Rabi,Rabi,RABI SORGHUM,Rabi Sorghum,0.0,0.0,0.0
ICR_1_2014_SOR_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Annual,Annual,SORGHUM,Sorghum,220.0,180.0,809.24
ICR_1_2014_PEA_4,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2014,Annual,Annual,PEARL MILLET,Pearl Millet,60.0,40.0,750.0
